showname,url
beautiful mind,https://mydramalist.com/11690-a-beautiful-mind
king of dramas,https://mydramalist.com/4996-the-king-of-dramas
basketball,https://mydramalist.com/7193-basketball
gourmet,https://mydramalist.com/743-gourmet
secret door,https://mydramalist.com/10515-secret-door
two cops,https://mydramalist.com/24026-two-cops
witch�s court,https://mydramalist.com/24987-witchs-court
doctor stranger,https://mydramalist.com/8933-doctor-stranger
flower boy ramyun shop,https://mydramalist.com/2963-flower-boy-ramen-shop
"that winter, the wind blows",https://mydramalist.com/5200-that-winter-the-wind-blows
poseidon,https://mydramalist.com/1797-poseidon
manhole,https://mydramalist.com/23467-manhole
sons of sol pharmacy,https://mydramalist.com/1224-my-too-perfect-sons
mrs. cop,https://mydramalist.com/14435-mrs.-cop
impressions on legend,
scent of a woman,https://mydramalist.com/2659-scent-of-a-woman
my girlfriend is a gumiho,https://mydramalist.com/31-my-girlfriend-is-a-gumiho
d-day,https://mydramalist.com/14086-d-day
missing noir m,https://mydramalist.com/12885-missing-noir-m
mystery queen,https://mydramalist.com/22234-queen-of-mystery
oh my ghostess,https://mydramalist.com/14213-oh-my-ghostess
myung-wol the spy,https://mydramalist.com/2389-myung-wol-the-spy
witch amusement,https://mydramalist.com/128-witch-yoo-hee
man who dies to live,https://mydramalist.com/23777-man-who-dies-to-live
after the show ends,https://mydramalist.com/19022-after-the-show-ends
joseon gunman,https://mydramalist.com/9549-joseon-gunman
hometown of legends episode 1,
delightful girl chun-hyang,https://mydramalist.com/142-delightful-girl-choon-hyang
mirror of the witch,https://mydramalist.com/16997-mirror-of-the-witch
"me too, flower",https://mydramalist.com/3027-me-too-flower
cinderella�s sister,https://mydramalist.com/50-cinderellas-sister
imaginary cat,https://mydramalist.com/15755-imaginary-cat
miss korea,https://mydramalist.com/8284-miss-korea
third ward,https://mydramalist.com/3337-the-3rd-ward
sirius,https://mydramalist.com/5957-drama-special-series-season-3-sirius
the great seer,https://mydramalist.com/4713-the-great-seer
my sassy girl,https://mydramalist.com/17275-my-sassy-girl
monstar,https://mydramalist.com/6497-monstar
awl,https://mydramalist.com/14931-awl
i hear your voice,https://mydramalist.com/6993-i-hear-your-voice
forest of secrets,https://mydramalist.com/21934-stranger
i am legend,https://mydramalist.com/290-i-am-legend
rescue me,https://mydramalist.com/22599-save-me
an introduction to dramaworld,
full sun,https://mydramalist.com/8739-beyond-the-clouds
ruler�master of the mask,https://mydramalist.com/20806-the-emperor-owner-of-the-mask
gaksital,https://mydramalist.com/3394-the-bridal-mask
liar game,https://mydramalist.com/11133-liar-game-2014
wish upon a star,https://mydramalist.com/90-stars-falling-from-the-sky
you from another star,https://mydramalist.com/7398-you-who-came-from-the-stars
doctors,https://mydramalist.com/16192-doctors
god of study,https://mydramalist.com/55-master-of-study
master�god of noodle,https://mydramalist.com/16975-the-master-of-revenge
hwajeong,https://mydramalist.com/11842-hwajeong
marriage plot,https://mydramalist.com/3945-the-wedding-scheme
romance hunter,https://mydramalist.com/10912-romance-hunter
when a man loves,https://mydramalist.com/6063-when-a-mans-in-love
pinocchio,https://mydramalist.com/11074-pinocchio
neighborhood hero,https://mydramalist.com/15358-local-hero
smart prison living,https://mydramalist.com/22624-wise-prison-life
49 days,https://mydramalist.com/288-49-days-2011
black,https://mydramalist.com/23772-black
circle,https://mydramalist.com/22671-circle
misaeng,https://mydramalist.com/10619-incomplete-life
"kill me, heal me",https://mydramalist.com/10873-kill-me-heal-me
marriage not dating,https://mydramalist.com/9803-marriage-not-dating
jackpot,https://mydramalist.com/16475-the-royal-gambler
triangle,https://mydramalist.com/9176-triangle-2014
my fair lady,https://mydramalist.com/100-my-fair-lady
madam antoine,https://mydramalist.com/15854-madame-antoine
duel,https://mydramalist.com/22597-duel
a gentleman�s dignity,https://mydramalist.com/3570-a-gentlemans-dignity
my spring days,https://mydramalist.com/10516-the-spring-day-of-my-life
page turner,https://mydramalist.com/16002-page-turner
witch�s romance,https://mydramalist.com/9260-witchs-romance
summary,
sungkyunkwan scandal,https://mydramalist.com/39-sungkyunkwan-scandal
village: secret of achiara,https://mydramalist.com/15353-the-village-achiaras-secret
age of feeling,https://mydramalist.com/7452-inspiring-generation
moonlight drawn by clouds,https://mydramalist.com/16973-love-in-the-moonlight
could we love,https://mydramalist.com/8473-can-we-love
hwayugi,https://mydramalist.com/24049-hwayuki
color of woman,https://mydramalist.com/3122-the-color-of-a-woman
five fingers,https://mydramalist.com/4549-five-fingers
good doctor,https://mydramalist.com/7184-good-doctor
prime minister and i,https://mydramalist.com/8129-prime-minister-and-i
revolutionary love,https://mydramalist.com/24289-revolutionary-love
the king 2 hearts,https://mydramalist.com/3386-king2hearts
the last scandal of my life,https://mydramalist.com/423-last-scandal
high kick 3,https://mydramalist.com/2972-high-kick-the-revenge-of-the-short-legged
"hyde, jekyll, me",https://mydramalist.com/11514-hyde-jekyll-me
answer me 1997,https://mydramalist.com/4689-reply-1997
answer me 1994,https://mydramalist.com/6753-reply-1994
crime squad,https://mydramalist.com/286-crime-squad
i remember you,https://mydramalist.com/3449-i-remember-you
the lonely shining goblin,https://mydramalist.com/18452-goblin
tamra the island,https://mydramalist.com/445-tamra-the-island
moorim school,https://mydramalist.com/15087-moorim-school
last,https://mydramalist.com/14343-last
because this life is our first,https://mydramalist.com/24678-because-this-is-my-first-life
ho-gu�s love,https://mydramalist.com/12380-ho-goos-love
the k2,https://mydramalist.com/19048-the-k2
strongest chil woo,https://mydramalist.com/501-strongest-chil-woo
mary stayed out all night,https://mydramalist.com/21-mary-stayed-out-all-night
return of iljimae,https://mydramalist.com/526-the-return-of-iljimae
modern farmer,https://mydramalist.com/10620-modern-farmer
runaway,https://mydramalist.com/108-the-fugitive-plan-b
wild romance,https://mydramalist.com/3137-wild-romance
jugglers,https://mydramalist.com/25733-jugglers
secret,https://mydramalist.com/7761-secret
"i do, i do",https://mydramalist.com/3861-i-do-i-do
mi-rae�s choice,https://mydramalist.com/7604-marry-him-if-you-dare
two weeks,https://mydramalist.com/7028-two-weeks
suspicious partner,https://mydramalist.com/22602-suspicious-partner
my name is kim sam soon,https://mydramalist.com/221-my-lovely-sam-soon
oh hae-young again,https://mydramalist.com/16611-another-miss-oh
the superman age,https://mydramalist.com/13705-the-superman-age
the liar and his lover,https://mydramalist.com/6425-the-liar-and-his-lover
emergency couple,https://mydramalist.com/8550-emergency-couple
second to last love,https://mydramalist.com/17319-second-to-last-love
voice,https://mydramalist.com/20378-voice
"this week, my wife will have an affair",https://mydramalist.com/19206-my-wifes-having-an-affair-this-week
i love lee tae-ri,https://mydramalist.com/4134-i-love-lee-tae-ri
the good wife,https://mydramalist.com/16851-the-good-wife
playful kiss,https://mydramalist.com/20-playful-kiss
story of a man,https://mydramalist.com/205-a-mans-story
bad guys,https://mydramalist.com/21615-bad-guys-age-of-evil
high school: love on,https://mydramalist.com/10359-hi-school-love-on
triple,https://mydramalist.com/342-triple
partner,https://mydramalist.com/389-partner
high society,https://mydramalist.com/13848-high-society
incarnation of money,https://mydramalist.com/5778-the-incarnation-of-money
"come back, ajusshi",https://mydramalist.com/15958-please-come-back-mister
heirs,https://mydramalist.com/22654-heirs
dramaworld,
cantabile tomorrow,https://mydramalist.com/9127-naeils-cantabile
shut up: flower boy band,https://mydramalist.com/3132-shut-up-flower-boy-band
school 2017,https://mydramalist.com/22477-school-2017
school 2013,https://mydramalist.com/5571-school-2013
oh my lady,https://mydramalist.com/57-oh-my-lady
my secret hotel,https://mydramalist.com/10698-my-secret-hotel
flower boy next door,https://mydramalist.com/5626-flower-boy-next-door
the woman who still wants to marry,https://mydramalist.com/109-the-woman-who-still-wants-to-marry
age of youth 2,https://mydramalist.com/22516-age-of-youth-2
high school king of savvy,https://mydramalist.com/9702-high-school-king-of-savvy
"it�s okay, daddy�s girl",https://mydramalist.com/189-its-okay-daddys-girl
youths over flowers in africa,
unemployed romance,https://mydramalist.com/7908-unemployed-romance
dating agency cyrano,https://mydramalist.com/6699-dating-agency-cyrano
mandate of heaven,https://mydramalist.com/6224-heavens-order
plus nine boys,https://mydramalist.com/10166-plus-nine-boys
radiant office,https://mydramalist.com/22236-radiant-office
drinking solo,https://mydramalist.com/18980-drinking-solo
when night comes,https://mydramalist.com/1230-when-its-at-night
she�s so lovable,https://mydramalist.com/10846-my-lovely-girl
flowers for my life,https://mydramalist.com/1431-flowers-for-my-life
discovery of romance,https://mydramalist.com/9849-discovery-of-romance
you�re beautiful,https://mydramalist.com/2986-youre-beautiful
big,https://mydramalist.com/4236-big
padam padam,https://mydramalist.com/2937-padam-padam
twelve men in a year,https://mydramalist.com/3484-twelve-men-in-a-year
fated to love you,https://mydramalist.com/9558-fated-to-love-you
rebel: thief who stole the people,https://mydramalist.com/20782-rebel-thief-who-stole-the-people
dr. champ,https://mydramalist.com/319-dr.-champ
signal,https://mydramalist.com/13239-signal
weightlifting fairy kim bok-ju,https://mydramalist.com/19262-weightlifting-fairy-kim-bok-joo
tazza,https://mydramalist.com/1205-tazza
what�s up,https://mydramalist.com/1699-whats-up
best love,https://mydramalist.com/1548-the-greatest-love
arang and the magistrate,https://mydramalist.com/3708-arang-and-the-magistrate
night light,https://mydramalist.com/20294-night-light
master�s sun,https://mydramalist.com/6756-the-masters-sun
moon lovers: scarlet heart ryeo,https://mydramalist.com/15999-moon-lovers-scarlet-heart-ryeo
hong gil dong,https://mydramalist.com/119-hong-gil-dong-2008
king�s face,https://mydramalist.com/8282-the-kings-face
god�s gift � 14 days,https://mydramalist.com/8791-gods-gift-14-days
vampire prosecutor,https://mydramalist.com/2961-vampire-prosecutor
"it�s okay, it�s love",https://mydramalist.com/9289-its-okay-thats-love
remember�son�s war,https://mydramalist.com/15789-remember-war-of-the-son
thousand day promise,https://mydramalist.com/2954-a-thousand-days-promise
goong s,https://mydramalist.com/183-goong-s
city hall,https://mydramalist.com/251-city-hall
history of the salaryman,https://mydramalist.com/3164-history-of-the-salaryman
the world they live in,https://mydramalist.com/314-the-world-that-they-live-in
valid love,https://mydramalist.com/10874-valid-love
iris,https://mydramalist.com/47-iris
bride of the water god 2017,https://mydramalist.com/19234-the-bride-of-habaek
i miss you,https://mydramalist.com/5364-missing-you
w�two worlds,https://mydramalist.com/16589-w
who are you,https://mydramalist.com/493-who-are-you-2008
insoon is pretty,https://mydramalist.com/1147-in-soon-is-pretty
the story of hyang dan,https://mydramalist.com/1149-legend-of-hyang-dan
painter of the wind,https://mydramalist.com/422-the-painter-of-the-wind
medical top team,https://mydramalist.com/7453-medical-top-team
equator man,https://mydramalist.com/3569-the-equator-man
you�re all surrounded,https://mydramalist.com/9288-youre-all-surrounded
coffee house,https://mydramalist.com/111-coffee-house
hospital ship,https://mydramalist.com/23076-hospital-ship
full house take 2,https://mydramalist.com/3147-full-house-take-2
dear my friends,https://mydramalist.com/15845-dear-my-friends
uncontrollably fond,https://mydramalist.com/15320-uncontrollably-fond
conspiracy in the court,https://mydramalist.com/1187-conspiracy-in-the-court
you�ve fallen for me,https://mydramalist.com/1445-heartstrings
scholar who walks the night,https://mydramalist.com/11844-scholar-who-walks-the-night
lingerie girls� generation,https://mydramalist.com/24479-girls-generation-1979
memory,https://mydramalist.com/15914-memory
a new leaf,https://mydramalist.com/9559-a-new-leaf
criminal minds,https://mydramalist.com/22149-criminal-minds
angry mom,https://mydramalist.com/12647-angry-mom
shopping king louis,https://mydramalist.com/19012-shopping-king-louis
"you�re the best, lee soon-shin",https://mydramalist.com/6064-you-are-the-best
beethoven virus,https://mydramalist.com/135-beethoven-virus
live up to your name,https://mydramalist.com/23753-live-up-to-your-name-dr.-heo
paradise ranch,https://mydramalist.com/163-paradise-farm
splish splash love,https://mydramalist.com/15550-splash-splash-love
criminals minds,https://mydramalist.com/22149-criminal-minds
cinderella and the four knights,https://mydramalist.com/16119-cinderella-and-the-four-knights
three days,https://mydramalist.com/8423-3-days
cheese in the trap,https://mydramalist.com/14457-cheese-in-the-trap
whisper,https://mydramalist.com/18586-whisper
man to man,https://mydramalist.com/16977-man-to-man
the producers,https://mydramalist.com/13445-the-producers
neighborhood lawyer jo deul-ho,https://mydramalist.com/16379-my-lawyer-mr.-jo
romantic doctor teacher kim,https://mydramalist.com/19510-romantic-doctor-teacher-kim
sly and single again,https://mydramalist.com/8911-cunning-single-lady
bubblegum,https://mydramalist.com/15108-bubblegum
woman with a suitcase,https://mydramalist.com/18982-woman-with-a-suitcase
take two,
oohlala spouses,https://mydramalist.com/5412-ohlala-couple
green rose,https://mydramalist.com/708-green-rose
city hunter,https://mydramalist.com/1702-city-hunter-2011
while you were sleeping,https://mydramalist.com/21576-while-you-were-sleeping
ghost,https://mydramalist.com/3993-ghost-2012
heart to heart,https://mydramalist.com/11582-heart-to-heart
mask,https://mydramalist.com/13388-mask
hometown of legends,
marriage contract,https://mydramalist.com/16311-marriage-contract
on the way to the airport,https://mydramalist.com/18618-on-the-way-to-the-airport
love & marriage,https://mydramalist.com/1153-love-marriage
operation proposal,https://mydramalist.com/3152-operation-proposal
